first;первый 
last;последний
next;следующий
previous;предыдущий
well;хорошо
good;хорошо
bad;Плохо
interesting;интересный 
long;длинный
short;короткый
fast;быстрый
slow;медленный
tall;высокий 
small;маленький 
high;высокий 
low;низкий
big;большой
difficult;трудный 
possible;возможный
impossible;невозможный
far;далеко
near;возле
early;рано
late;поздно
strange;странный
expensive;дорогый
cheap;дешевый
beautiful;красивый
ugly;некрасивый
impressive;впечатляющий
strong;сильный
weak;слабый
healthy;здоровый
dirty;грязный
clean;чистый
noisy;шумный
calm;спокойный
wise;мудрый
dangerous;опасный
safe;безопасный
curious;любопытный
smart;умный
happy;счастливый
glad;довольный
joyful;радостный 
disappointed;разочарованный 
sad;грустный
satisfied;удовлетвореный
satisfying;удовлетворительный
useful;полезный
useless;бесполезный
nasty;противный
kind ;добрый
cute ;милый
famous;известный
young;молодой
old;старый
recent;недавний
modern;современный
former;прежний
light (weight);легкий (вес)
heavy, important, serious;тяжелый
funny;смешной
necessary;необходимо
different, varié;разный
different;другой
ressemblant;похожий
identiques;одинаковий
warm;теплий
hot;горячий
cold;холодний
fresh;свежий 
fatigué;усталый
grave;серьезный 
honnête;честный
nouveau;новый 
sec;сухой 
mouillé;мокрый
malade;больной
(un)pleasant;(не)приятный 
sûr, confiant;уверенный
vraie;верный 
gratuit ;бесплатный
libre (liberté);вольный 
efficace;эффективный 
libre/dispo;свободный
chanceux;удачливый
chanceux;везучий
important;важный
difficile;сложно 
facile;простой
principal;главный 
méchant;злой 
éloigné;отдаленный
boring;скучный
full;полный 
empty;пустой 
actuel;данный
riche;богатый 
pauvre;бедный
jaloux;завистливый
jaloux;ревнивый
humide;влажный
sucré;сладкий
salé;соленый 
épicé;пряный
calme;тихий 
ancien;древний
fun;весёлый
