choice;выбор 
type of;Тип +gen.
plusieurs;несколько 
second;второй
headquarters;(главой) штаба
la bourse;бирже 
ombre;тень 
temperature;температура 
bien, parfaitement;прекрасно
partout;везде
nulle part;нигде 
quelque part;где-то 
soudainement;вдруг
odeur;запах 
son, bruit;звук
in no way;никак
besides, aside;помимо
autoriser;разрешать
ici (→ tuda);сюда
trouver;найти
finalement;Наконец
maître (chien);хозяин
necessary;нужный
hôtel (version2);гостиница
voisin;сосед
calme;рады
mouvement;движение
comportement;поведение 
quartier;районе
beaucoup à faire;много дел
force, efforts, énergie;сил
(inter)national;(Между)народный
envoyer;Отправить 
depuis l'étranger;из-за границы
monuments;памятник
ennemi;враг 
ennemi;противник
in the past;В  прошлом
more than once;не раз
nommer, appeler;называть
enfance;детстве 
enseignement;учёбе
vraiment, beacoup;действительно
droit (bras, œil, ..);правый
occupé, busy;занятый
it seems;Кажется
inconnu;незнакомые 
banlieue;пригород 
appeler, demander aide;вызвать (доктор)
service, maintenance;служба
ralentir;замедлять
étrangers;иностранц 
collecter, cueillir;собирать 
attaquer qlqun;напасть на
honey;мёд 
heart, soul;душа
retard;опоздание
about;о том
again;опять 
be late;опоздать (perf)
déjà;же 
prévenir;предупреждать
virer;увольнять
chance, oportunité;возможность
example;пример 
se tromper;ошибиться 
Inverser, mélanger, ;перепутать
sorry !;Простите 
marriage;Брак
marriage;женитьба
divorce;развод 
en ordre (doc);В порядке
ta faute;твоя вина 
entreprise;Компания 
revenus;доход
dépenses;расходы 
dettes;долги
emprunter;занима́ть
at once;сразу
porte-monnaie;бумажник
actualité;собы́тия   
nu;голый
vote;голос 
plat (nourriture);блюдо 
exercice;упражнение 
quelqu'un;кто-то
