à la tête;главы;
rencontre;встрече;
was discussed;обсуждалось;
held a;провел;
affaires étrangères;иностранных дел;
called;назвал;
underline;Подчеркнуть;
nuclear;ядерные;
powers (puissance nucléaire);державы;
large/big;крупный;
allow;позволить;
so/such as;столь;
relations;отношения;
negotiations;переговоров;
declared;заявил;
enough/plenty of;достаточно;
authorities;власти;
reasons;причиной;
actually/in fact;фактически;
completed;overзавершен;
during;В течение;
reach an agreement;Договориться;
foreign policy;внешнеполитических;
department;ведомств;
suceededу;далось;
assessment;оценк;
side;sстороны;
resign/leave;Покинуть;
at all;вообще;
enjeux;ставку;
to sit down;сесть;
composition (of);состав;
availability;наличие;
property;имущество;
abroad;за рубежом;
the largest;Наибольшей;
popularity;популярностью;
to elect;Избирать;
elected;Избранный;
people's/popular;народных;
periphery/outskirts;edgeокраине;
to break;разбивать;
was completed;завершилась;
atomic;атомной;
population;население;
education;Образование;
holidays (for school);каникулы;
to respect;Уважать;
communicate;Общаться;
long;долго;
long;давно;
generations;Поколение;
age;возраст;
to develop;Развиваться;развиться;
to have/keep;holdиметь;
vote;голос;
vote;голоса;
vote;голосование;
cybersecurity;кибербезопасности;
créature/being;существо;
Unfortunately;к сожалению;
fortunately;к счастью;
education;formationобразование;
(1st/2nd) part;часть;
power/authority;власть;
government;штат;
European Union;Евросоюз;
to break (relationships);разорвать;
relations;отношения;
to lead;вести;
due to/thanks to;благодаря;
skyscrapers;небоскребов;
construction;построено;
bunch of;множество;
some;некоторые;
to cease;прекратить;
flight;рейс;
head;голова;

