hunger;голод
threat;угроза 
construction;стройка 
de nombreux;множество 
citoyen;гражданин 
difficultés;трудность 
increase;увеличение
croissance;рост
croissance;прирост
chute;падение
decrease;уменьшение
decrease;понижение
aide;помощь 
communauté;сообщество
données;данные
pétrole;нефть 
risque;риск
risquer;рисковать
demande;спрос 
offre;предложение 
life;жизнь
death;смерть 
vent;ветер 
neige;снег 
tempête;шторм 
tonnerre;гром 
orage;гроза 
science;наука 
scientifique (adj);научный
scientifique (adj);ученый
mort (adj);мертвый
vivant (adj);живой
presque;почти
seulement;только
chance;везение 
chance, succès;удача 
come by foot;приходят пешком
venir;приходить
sortir;Выходить
partir;уходить 
mobile phone;мобильный телефон 
ok, très bien;Ладно 
plusieurs;несколько 
pont;мост 
barrière;забор 
au bord de;на грани +gen
au centre;посредине
au milieu;в середине 
à coté;рядом 
espace (ciel);космос
place, espace;место 
place (stan..);площадь 
espace, place;пространство
ciel;небо 
nuage;облако 
planete;планета 
le monde;мир 
la terre;Земля 
plutot;довольно
d'abord;впервые
en premier, ;сперва
the truth;правда 
a lie;ложь 
banc;скамейка
poubelle;мусорный ящик
mosquito;москит
voleur;грабитель
vol (voleur);кража
entrée;вход
sortie;Выход 
revenir;возвращаться
sortir;Выходить 
entrer;входить 
réseau;сеть 
