victime;потерпевший
victime;жертвы 
coupable;виновник
suspect (adj);подозреваемый 
accident, incident;случай
accidentel;случайный
accident, crash;авария
sud;юг
nord;север
est;восток
ouest;запад 
date;дата
heure;час 
signature;подпись
nom;фамилия
prénom;имя 
age;возраст 
numéro;номер 
billet;билет 
ticket;билет 
pièce de monnaie;монета
langue;язык 
chiffre;цифра
monnaie, devise;валюта 
en espèce;наличными 
douleur;боль 
best (friend, plat);лучший 
habituel, normal;Обычный 
la santé;здоровье
week-end;выходным 
nice to meet you;Приятно познакомиться 
lucky you !;Везёт тебе 
probablement;Наверное 
peut-être;наверно
(i) need;(мне) нужен 
mieux;лучше 
coiffeur;Стрижка 
comme;как 
(je suis) d'accord;согласен/на
ressembler (à);похожа 
avec plaisir;С удовольствием 
mariage;свадьба 
identiques, semblables;одинаковыи
smile;улыбка 
relatives, family;родственники 
à un moment, une fois, un jour (on sera vieux);когда-то
guy;парень
party, soirée;вечеринка 
arrivée, retour;приезда 
évidemment;Обязательно 
amazing;Удивительно 
