long (time);долго
long (time);давно
how long .. ?;как долго + pres.
depuis;поскольку 
activité, occupation;занятие 
activités (commerciales);деятельность 
de plus;Кроме того 
lui-même;само/сама
vêtements;одежду 
valise;чемодан 
un point c'est tout;и точка 
right, fine;ладно 
talk nonsense;говорить ерунды
Let's ./ come on;Давай …
shopping;покупками 
taste;вкус 
eh bien;Да вот 
dont, cuyo;который
manifestation;проявление 
gouvernement;правительство 
autorités;власти 
opinion publique;общественное мнение 
about;по поводу
retrait (troupes);выходе 
ministère;Министерство 
règle;правило 
loi;закон 
démocratie;демократия 
however;Однако 
un acte;акт 
en réponse à;в ответ/отзыве на
make (them…);(с)делать 
auparavant;раньше/ранее
résultat;результат 
issue/résultat ;исход 
expulsion;высылку 
déclarer, annoncer;объявлять
ambassade;посольство 
selon les mots de (ryabkov);По словам (Рябкова)
staff, équipe (de travail);сотрудники 
occurred;произошли 
incident;инцидента 
alors, à ce moment;Тогда
côté, parti;сторона 
fusillade;Стрельба 
blessés;ранены 
contre;против 
violence;насилие 
deux fois de suite;сразу два
état;штат 
de nouveau;снова 
population;Население 
maladie;болезнь 
conditions;обстоятельства
responsable;ответственный 
la loi;закон 
le droit;право
règles;правило, норма
pouvoir;власть, мощность 
attack ;нападении 
maladie;заболевание
conditions;условия
