lampe;лампа
la lumière;свет 
objectifs, but;цель
that, than, so that;чтобы 
I beg you pardon;прошу прощения
weakness ;слабость 
juste, seulement;просто 
older than;старшей 
account, bill;рахунок 
usually;обычно 
of course;конечно 
loudly ;громко 
page;страница 
peace;мир
war;война 
must;должны
must;надо 
en premier, d'abord;сначала
what for, why;зачем ?
la plage;пляж
sentiment, feeling;чувство
cause, raison;причина
conséquence;(по)следствие
être la cause;быть причиной
entrainer, causer;приводить к
impliquer, inclure, comprendre;подразумевать 
stylo;ручка 
crayon;карандаш
papier;бумага 
feuille;лист (бумаги)
cisors;ножницы
serviette de toilette;полотенце
serviette de table;подгузник 
parapluie;зонтик
pantalon;брюки 
pantalon;штаны 
T-shirt;футболка
Pantalon en jeans;джинсы штаны 
jean;джинсовый 
shirt;короткие штаны 
chaussette;носки 
chaussures;обувь 
claquette;резкий поворот 
brosse à dent;зубная щетка
dentifrice;зубная паста 
savon;мыло
douche;душ
faire la vaisselle;мыть посуду 
