country;страна
nationality;Национальность
continent;континент
europe;Европа
america;Америка
africa;Африка
asia;Азия
france;Франция
germany;Германия
spain;Испания
portugal;Португалия
italy;Италия
england;Англия
great-britain;Великобритания
united-kingdom;Великобритания
belgium;Бельгия
sweden;Швеция
finland;Финляндия
norway;Норвегия
poland;Польша
romania ;Румыния
russia;Россия
ukraine;Украина
america;Америка
canada;Канада
mexico;Мексика
argentina;Аргентина
brasil;Бразилия 
algeria;Алжир
morocco;Марокко
china;Китай
india;Индия
japan;Япония
australia;Австралия
new zealand;Новая Зеландия
egypt;Египет
turkey;Турция 
switzerland;Швейцария 
