lundi;понедельник
mardi;вторник
mercredi;среда
jeudi;четверг
vendredi;пятница
samedi;суббота
dimanche;воскресенье
janvier;январь
février;февраль
mars;март
avril;апреля
mai;Май 
juin;июнь
juillet;июль 
aout;август
septembre;сентябрь
octobre;октября
novembre;ноябрь
décembre;декабрь
hier;вчера
avant hier;позавчера
demain;завтра
aujourd'hui;сегодня
one second;одна секунда
minute;минута
heure;час 
jour;день
semaine;неделя
mois;месяц
année;год
siècle;века 
mille (ans);тысяча (лет) 
million;миллиона
billion;миллиард 
morning;утро
midday;полдень 
afternoon;после полудня
evening;вечер
night;ночь 
